StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q56,Q2,Q3,Q4,Q5,Q6_1,Q6_2,Q9,Q59,Q10,Q10_10_TEXT,Q11_1,Q61,Q63,Q64,Q65,Q68,Q69,Q66,Q67,Q12,Q15,Q16,Q57,Q17,Q18,Q70,Q19,Q20,Q21,Q22,Q23,Q26,Q27,Q28,Q71,Q72,Q73,Q74,Q29,Q30,Q31,Q32,Q33,Q35,Q36,Q37,Q75,Q75_11_TEXT,Q38,Q76,Q76_11_TEXT,Q39,Q40,Q41,Q42,Q43,Q49,Q49_7_TEXT,Q50,Q50_6_TEXT,Q51,Q52,Q53,Q77,opp,Q_Language,Q_TotalDuration,rnid,study,PID,psid,K2,med,RISN,rid,Q_BallotBoxStuffing,Q_RelevantIDDuplicateScore,Q_RelevantIDDuplicate,Q_RecaptchaScore,Q_RelevantIDFraudScore,SVID,transaction_id,V,orderNumber,gc,term,tg,LS,PS
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Do you consent to participate in this survey?,"First, we’d like to ask you a few basic questions about yourself.

What is your gender?","Do
you identify as a racial, ethnic, or religious minority?","How
many years of formal education have you completed?",What is your age?,Please select your voivodeship and powiat of residence: - Province,Please select your voivodeship and powiat of residence: - District,What is your total household income during the past 12 months (in Polish z?oty) ?,Your primary income comes from:,"What
is your religion, if any? - Selected Choice","What
is your religion, if any? - Other - Text","People
often talk about political issues and views in terms of a “left” and “right”
spectrum. Using the following scale, where would you place yourself in terms of
political views? - 1","In recent years there have been discussions between Polish and U.S. government officials about increasing the U.S. military presence in Poland. One of the options that has been discussed is that of opening up a new U.S. military base in Poland. This new base could house several thousand U.S. service members, as well as a variety of military equipment such as helicopters, tanks, and other vehicles.

How likely would you be to support this new military installation if it were to be located in a town that were 100 kilometers away from where you currently live?",How likely would you be to support this new military installation if it were to be located within 5 kilometers of where you currently live?,"Russia's 2014 annexation of Crimea and 2022 invasion of Ukraine represent the first major interstate war to occur in Europe in decades. The war has resulted in numerous casualties, including a large number of civilians killed and entire cities destroyed, and has displaced hundreds of thousands of people. 

In recent years there have been discussions between Polish and U.S. government officials about increasing the U.S. military presence in Poland. One of the options that has been discussed is that of opening up a new U.S. military base in Poland. This new base could house several thousand U.S. service members, as well as a variety of military equipment such as helicopters, tanks, and other vehicles. 

Some would argue that a new military base would bring economic benefits to the neighboring community through actions such as sourcing from local contractors, hiring local individuals to work on base, and having American service members patronize local businesses.

How likely would you be to support this new military installation if it were to be located in a town that were 100 kilometers away from where you currently live?",How likely would you be to support this new military installation if it were to be located in a town that were 5 kilometers away from where you currently live?,"In recent years there have been discussions between Polish and U.S. government officials about increasing the U.S. military presence in Poland. One of the options that has been discussed is that of opening up a new U.S. military base in Poland. This new base could house several thousand U.S. service members, as well as a variety of military equipment such as helicopters, tanks, and other vehicles. 

Some would argue that a new military base would bring economic benefits to the neighboring community through actions such as sourcing from local contractors, hiring local individuals to work on base, and having American service members patronize local businesses.

How likely would you be to support this new military installation if it were to be located in a town that were 100 kilometers away from where you currently live?",How likely would you be to support this new military installation if it were to be located in a town that were 5 kilometers away from where you currently live?,"Russia's 2014 annexation of Crimea and 2022 invasion of Ukraine represent the first major interstate war to occur in Europe in decades. The war has resulted in numerous casualties, including a large number of civilians killed and entire cities destroyed, and has displaced hundreds of thousands of people. 

In recent years there have been discussions between Polish and U.S. government officials about increasing the U.S. military presence in Poland. One of the options that has been discussed is that of opening up a new U.S. military base in Poland. This new base could house several thousand U.S. service members, as well as a variety of military equipment such as helicopters, tanks, and other vehicles. 

How likely would you be to support this new military installation if it were to be located in a town that were 100 kilometers away from where you currently live?",How likely would you be to support this new military installation if it were to be located in a town that were 5 kilometers away from where you currently live?,"Next, we’d like to ask you
some general questions about your political and economic views.
In
general, how important is it to you that you live under a democratic government?","In
general, how important do you think it is for countries to work together to
promote peace and security?","In
general, how important do you think it is for countries to work together to
promote economic growth and development?","In general, my government is trustworthy. Do you...","In
general, countries are better off depending on their own strength and not
relying on other countries for security or economic prosperity. Do you…","In general, what is your opinion of relations between Poland and Russia? Are relations…","In general, what is your opinion of relations between Poland and neighboring countries (not Russia)? Are relations…","In
general, what is your opinion of the United States government?","In
general, what is your opinion of the United States people?","In your opinion, how much influence does the United States have in Poland?","In
your opinion, the influence that the United States has in Poland is…","In general, what is your opinion of the Chinese government?","In
general, what is your opinion of the Chinese people?","In
your opinion, how much influence does China have in Poland?","In
your opinion, Chinese influence in Poland is…","In general, what is your opinion of the German government?","In
general, what is your opinion of the German people?","In
your opinion, how much influence does Germany have in Poland?","In
your opinion, German influence in Poland is…","Finally, we’d like to ask
you a few questions about your views on the United States military and its
presence in Poland.

In
general, what is your opinion of the presence of the United States military forces in Poland?","In your opinion, what sort of influence does the presence of United States military forces have on the economy of Poland?","In
your opinion, what sort of influence does the presence of United States military
forces have on the economy of your local area?","In
your opinion, how has the presence of United States military forces affected crime
and public safety in Poland?","In
your opinion, how has the presence of United States military forces in Poland affected Poland's security from foreign
threats?","In
your opinion, how has the presence of United States military forces affected the
quality of democracy in Poland?","In
your opinion, how has the presence of United States military forces affected your
government’s respect for human rights?","Have
you personally had direct contact with a member of the United States military in Poland?",What kind of contact was this? Select all that apply. - Selected Choice,What kind of contact was this? Select all that apply. - Had a different interaction that does not fit into these categories (please list here) - Text,"Has
a member of your family or close friend had direct contact with a member of the
United States military stationed in Poland?",What kind of contact was this? Select all that apply. - Selected Choice,What kind of contact was this? Select all that apply. - Had a different interaction that does not fit into these categories (please list here) - Text,"Have
you personally received a direct economic benefit from the United States military
presence in Poland?
Examples include employment by the US military, employment by a contractor that
does business with the US military, or ownership/employment at a business that
frequently serves US military personnel.","How
reliant are you on these economic benefits?","Has a member of your family or close friend received a direct economic benefit from the United States military presence in Poland? Examples include employment by the US military, employment by a contractor that does business with the US military, or ownership/employment at a business that frequently serves US military personnel.","How
reliant are they on these economic benefits?","Do
you feel safer in your daily life because of the presence of US military
personnel?","In
your opinion, what is the greatest benefit of hosting United States military
personnel in Poland? [Select one] - Selected Choice","In
your opinion, what is the greatest benefit of hosting United States military
personnel in Poland? [Select one] - Other - Text","In
your opinion, what is the greatest drawback of hosting United States military forces
in Poland? - Selected Choice","In
your opinion, what is the greatest drawback of hosting United States military forces
in Poland? - Other - Text","In
your opinion, how long should the United States military remain in Poland?","What
is your opinion of the relationship between the US military and the government
of Poland?","Have
you ever attended a protest event against a US military base?","If there were a protest against the US military presence planned in your community within the next month, would you attend?",opp,Q_Language,Q_TotalDuration,rnid,study,PID,psid,K2,med,RISN,rid,Q_BallotBoxStuffing,Q_RelevantIDDuplicateScore,Q_RelevantIDDuplicate,Q_RecaptchaScore,Q_RelevantIDFraudScore,SVID,transaction_id,V,orderNumber,gc,term,tg,LS,PS
3/2/2023 16:26,3/2/2023 16:29,IP Address,100,183,TRUE,3/2/2023 16:29,R_XNgO1L9NZXyWtGN,anonymous,PL,I consent,Male,Yes,Secondary Education,35 to 44 years,Podkarpackie,Bieszczady,43 340 – 57 187,Self-employed (non-agricultural),Catholicism,,5,Somewhat support,Somewhat support,,,,,,,Very important,Very important,Very important,Somewhat agree,Somewhat agree,Very hostile,Very peaceful,Very favorable,Very favorable,A lot,Very positive,Neutral,Neutral,Some,Positive,Neutral,Very favorable,A lot,Very positive,Very favorable,Very positive,Very positive,Neutral,Very helpful,Very helpful ,The presence of American military forces has greatly improved the government’s respect for human rights,No,,,No,,,No,,No,,Yes,Greater security from foreign threats,,No drawback,,As long as needed ,Very positive,Never,No,Qual4159-0110-PolandStudy,PL,183,,,,3b0ff5ce-b887-070b-046b-50822a2efd6d,,{Invalid Expression},,,,,,,,14302052,1uHalSCzgQ6WDTwkbINugn,,,1,,,{Invalid Expression},497
3/2/2023 16:32,3/2/2023 16:35,IP Address,100,192,TRUE,3/2/2023 16:35,R_30tVyK5EwKWlQnt,anonymous,PL,I consent,Female,Yes,Higher Education (Bachelor/Engineer),25 to 34 years,Pomorskie,S?upsk,0 – 43 339,Full-time or contract work in the private sector,Catholicism,,3,,,,,Strongly support,Somewhat support,,,Neutral,Neutral,Somewhat important,Neither agree nor disagree,Somewhat agree,Somewhat peaceful,Neutral,Somewhat favorable,Somewhat favorable,A little,Negative,Somewhat unfavorable,Neutral,A little,Neither Positive nor Negative,Neutral,Somewhat unfavorable,A little,Neither Positive nor Negative,Neutral,Somewhat positive,Somewhat positive,Somewhat positive,Somewhat helpful,Neutral,The presence of American military forces has somewhat worsened the government’s respect for human rights,No,,,No,,,Yes,Not reliant at all,No,,Yes,No benefits,,Don’t know / Decline to answer,,Longer than 3 years,Somewhat positive,One time,No,Qual4159-0110-PolandStudy,PL,192,,,,2f1d1c49-f5ec-b118-52f9-6d3452b325b5,,{Invalid Expression},,,,,,,,14302052,3gLJPva52IrMCTPzlEjKp9,,,1,,,{Invalid Expression},497
3/2/2023 16:31,3/2/2023 16:35,IP Address,100,245,TRUE,3/2/2023 16:35,R_3Hv8FUK6BVgRHi6,anonymous,PL,I consent,Male,No,Higher Education (Master’s degree or higher),35 to 44 years,Ma?opolskie,Olkusz,57 188 –  74 062,Full-time or contract work in the private sector,Catholicism,,6,Strongly support,Strongly support,,,,,,,Very important,Very important,Very important,Strongly disagree,Strongly Agree,Very hostile,Very peaceful,Very favorable,Very favorable,A lot,Very positive,Very favorable,Somewhat unfavorable,A little,Neither Positive nor Negative,Very favorable,Somewhat favorable,A lot,Positive,Very favorable,Very positive,Very positive,Very positive,Very helpful,Very helpful ,Neutral / No change,No,,,No,,,No,,No,,Yes,Greater security from foreign threats,,No drawback,,As long as needed ,Very positive,Never,No,Qual4159-0110-PolandStudy,PL,245,,,,bc325047-ca07-f922-7370-ea4bf35f8dfe,,{Invalid Expression},,,,,,,,14302052,6wkx1m10GnCVWRhTkjT3X9,,,1,,,{Invalid Expression},497
3/2/2023 16:33,3/2/2023 16:35,IP Address,100,158,TRUE,3/2/2023 16:35,R_1jpm3tsdV4g1UXY,anonymous,PL,I consent,Female,No,Secondary Education,25 to 34 years,Dolno?l?skie,Z?bkowice ?l?skie,57 188 –  74 062,Self-employed (non-agricultural),Decline to answer,,7,Neither support nor oppose,Neither support nor oppose,,,,,,,Neutral,Neutral,Neutral,Neither agree nor disagree,Neither agree nor disagree,Neutral,Neutral,Neutral,Neutral,None,Neither Positive nor Negative,Somewhat unfavorable,Neutral,Don’t know/Decline to answer,Don’t know/Decline to answer,Neutral,Neutral,Don’t know/Decline to answer,Neither Positive nor Negative,Neutral,Somewhat negative,Neutral,Neutral,Neutral,Neutral,Neutral / No change,Don’t know/Decline to answer,,,Don’t know/Decline to answer,,,Don’t know/Decline to answer,,No,,Don’t know/Decline to answer,Reduced crime,,Decreased security from foreign threats,,No preference,Very negative,Don’t know/Decline to answer,Don’t know/Decline to answer,Qual4159-0110-PolandStudy,PL,158,,,,f1e5c45f-faaf-f1de-bc99-3b1588efce3b,,{Invalid Expression},,,,,,,,14302052,3yOO8y3Fv7WESiKeAFIAjV,,,1,,,{Invalid Expression},497
3/2/2023 16:27,3/2/2023 16:36,IP Address,100,537,TRUE,3/2/2023 16:36,R_3HHN4tcX6wPTsyw,anonymous,PL,I consent,Male,No,Vocational School,45 to 54 years,Dolno?l?skie,Wroc?aw,74 063 – 93 937,Full-time or contract work in the private sector,Catholicism,,7,,,Strongly support,Strongly support,,,,,Very important,Very important,Very important,Somewhat agree,Somewhat agree,Somewhat hostile,Very peaceful,Somewhat favorable,Somewhat favorable,A lot,Positive,Neutral,Somewhat favorable,None,Don’t know/Decline to answer,Neutral,Very unfavorable,None,Very Negative,Very favorable,Very positive,Very positive,Neutral,Very helpful,Somewhat unhelpful ,Neutral / No change,No,,,No,,,No,,No,,Yes,Greater security from foreign threats,,No drawback,,As long as needed ,Neutral,Never,No,Qual4159-0110-PolandStudy,PL,537,,,,f9f43cc1-012f-96d1-3014-c781f570c815,,{Invalid Expression},,,,,,,,14302052,5ZmXGjGqsqPXXuCMEe4ndO,,,1,,,{Invalid Expression},497
3/2/2023 16:33,3/2/2023 16:36,IP Address,100,218,TRUE,3/2/2023 16:36,R_22KBAezMwX6boP3,anonymous,PL,I consent,Male,No,Higher Education (Master’s degree or higher),45 to 54 years,Podkarpackie,Przemy?l (City),93 938 +,Full-time or contract work in the private sector,Other,nie,5,,,,,,,Strongly oppose,Strongly oppose,Very important,Very important,Very important,Strongly disagree,Strongly Agree,Very hostile,Very hostile,Very unfavorable,Very unfavorable,A lot,Very Negative,Very unfavorable,Very favorable,None,Very positive,Very unfavorable,Very favorable,A lot,Very positive,Very unfavorable,Very negative,Very negative,Very negative,Very unhelpful,Very unhelpful ,The presence of American military forces has greatly worsened the government’s respect for human rights,No,,,No,,,No,,No,,No,No benefits,,Decreased security from foreign threats,,No preference,Very negative,Never,Yes,Qual4159-0110-PolandStudy,PL,218,,,,59d9b3fe-d99a-5db1-15be-8c7ba487bb1f,,{Invalid Expression},,,,,,,,14302052,2xidO03uI3k2x0z8yM77f2,,,1,,,{Invalid Expression},497
3/2/2023 16:30,3/2/2023 16:37,IP Address,100,396,TRUE,3/2/2023 16:37,R_XoCLMKK03GMa5SF,anonymous,PL,I consent,Male,No,Secondary Education,35 to 44 years,Mazowieckie,Warszawa,0 – 43 339,Other sources,Decline to answer,,4,Strongly support,Strongly support,,,,,,,Very important,Very important,Very important,Strongly disagree,Somewhat agree,Somewhat hostile,Somewhat peaceful,Very favorable,Very favorable,Some,Very positive,Somewhat favorable,Neutral,A little,Neither Positive nor Negative,Somewhat favorable,Neutral,Some,Neither Positive nor Negative,Very favorable,Somewhat positive,Neutral,Somewhat positive,Very helpful,Somewhat helpful ,The presence of American military forces has greatly improved the government’s respect for human rights,No,,,No,,,No,,No,,Yes,Greater security from foreign threats,,No drawback,,As long as needed ,Neutral,Never,No,Qual4159-0110-PolandStudy,PL,396,,,,ad1a0bca-3399-a3ca-b53e-496b71980c8a,,{Invalid Expression},,,,,,,,14302052,4rYReAOQ0z1yXCZ8VtJzoC,,,1,,,{Invalid Expression},497
3/2/2023 16:30,3/2/2023 16:37,IP Address,100,432,TRUE,3/2/2023 16:37,R_BWiYFHHKV3DyZu9,anonymous,PL,I consent,Male,No,Secondary Education,45 to 54 years,Mazowieckie,Warszawa,93 938 +,Full-time or contract work in the private sector,Agnostic/Atheist,,4,,,,,Strongly support,Strongly support,,,Very important,Very important,Very important,Somewhat disagree,Somewhat agree,Very hostile,Very peaceful,Very favorable,Somewhat favorable,A lot,Very positive,Very favorable,Somewhat unfavorable,A little,Negative,Very favorable,Somewhat favorable,A lot,Positive,Very favorable,Very positive,Very positive,Neutral,Very helpful,Somewhat helpful ,The presence of American military forces has somewhat improved the government’s respect for human rights,No,,,No,,,No,,No,,Yes,Greater security from foreign threats,,No drawback,,As long as needed ,Very positive,Never,No,Qual4159-0110-PolandStudy,PL,432,,,,8db2eadb-056c-368e-dd27-c0c4c4f07a5d,,{Invalid Expression},,,,,,,,14302052,17S19k9KFieim6kh6pVClh,,,1,,,{Invalid Expression},497
3/2/2023 16:32,3/2/2023 16:37,IP Address,100,331,TRUE,3/2/2023 16:37,R_vl94fuJownupjJn,anonymous,PL,I consent,Female,No,Higher Education (Master’s degree or higher),55 to 64 years,Wielkopolskie,Pozna? (City),43 340 – 57 187,Pension or retirement,Catholicism,,3,,,Strongly support,Somewhat support,,,,,Very important,Very important,Very important,Strongly disagree,Somewhat disagree,Somewhat hostile,Neutral,Very favorable,Somewhat favorable,A little,Positive,Neutral,Neutral,A little,Neither Positive nor Negative,Neutral,Somewhat favorable,Some,Neither Positive nor Negative,Very favorable,Somewhat positive,Somewhat positive,Neutral,Somewhat helpful,Somewhat unhelpful ,Neutral / No change,No,,,No,,,No,,No,,Yes,Greater security from foreign threats,,Don’t know / Decline to answer,,As long as needed ,Neutral,Never,No,Qual4159-0110-PolandStudy,PL,331,,,,6e431975-ce56-1abf-439f-5b51836361cc,,{Invalid Expression},,,,,,,,14302052,5Z53rQH1ibu3KVsKXPgDz3,,,1,,,{Invalid Expression},497
