province	district
Dolnośląskie	Bolesławiec
Dolnośląskie	Dzierżoniów
Dolnośląskie	Głogów
Dolnośląskie	Góra
Dolnośląskie	Jawor
Dolnośląskie	Jelenia Góra
Dolnośląskie	Jelenia Góra (City)
Dolnośląskie	Kamienna Góra
Dolnośląskie	Kłodzko
Dolnośląskie	Legnica
Dolnośląskie	Legnica (City)
Dolnośląskie	Lubań
Dolnośląskie	Lubiń
Dolnośląskie	Lwówek Śląski
Dolnośląskie	Milicz
Dolnośląskie	Oława
Dolnośląskie	Oleśnica
Dolnośląskie	Polkowice
Dolnośląskie	Środa Śląska
Dolnośląskie	Strzelin
Dolnośląskie	Świdnica
Dolnośląskie	Trzebnica
Dolnośląskie	Wałbrzych
Dolnośląskie	Wołów
Dolnośląskie	Wrocław
Dolnośląskie	Wrocław (City)
Dolnośląskie	Ząbkowice Śląskie
Dolnośląskie	Zgorzelec
Dolnośląskie	Złotoryja
Kujawsko-Pomorskie	Aleksandrów
Kujawsko-Pomorskie	Brodnica
Kujawsko-Pomorskie	Bydgoszcz
Kujawsko-Pomorskie	Bydgoszcz (City)
Kujawsko-Pomorskie	Chełmno
Kujawsko-Pomorskie	Golub-Dobrzyń
Kujawsko-Pomorskie	Grudziądz
Kujawsko-Pomorskie	Grudziądz (City)
Kujawsko-Pomorskie	Inowrocław
Kujawsko-Pomorskie	Lipno
Kujawsko-Pomorskie	Mogilno
Kujawsko-Pomorskie	Nakło
Kujawsko-Pomorskie	Radziejów
Kujawsko-Pomorskie	Rypin
Kujawsko-Pomorskie	Sępólno
Kujawsko-Pomorskie	Świecie
Kujawsko-Pomorskie	Toruń
Kujawsko-Pomorskie	Toruń (City)
Kujawsko-Pomorskie	Tuchola
Kujawsko-Pomorskie	Wąbrzeźno
Kujawsko-Pomorskie	Włocławek
Kujawsko-Pomorskie	Włocławek (City)
Kujawsko-Pomorskie	Żnin
Łódzkie	Bełchatów
Łódzkie	Brzeziny
Łódzkie	Kutno
Łódzkie	Łask
Łódzkie	Łęczyca
Łódzkie	Łódź
Łódzkie	Łódzki Wschodni
Łódzkie	Łowicz
Łódzkie	Opoczno
Łódzkie	Pabianice
Łódzkie	Pajęczno
Łódzkie	Piotrków
Łódzkie	Piotrków Trybunalski
Łódzkie	Poddębice
Łódzkie	Radomsko
Łódzkie	Rawa
Łódzkie	Sieradz
Łódzkie	Skierniewice
Łódzkie	Skierniewice (City)
Łódzkie	Tomaszów Mazowiecki
Łódzkie	Wieluń
Łódzkie	Wieruszów
Łódzkie	Zduńska Wola
