StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q56,Q2,Q3,Q4,Q5,Q6_1,Q6_2,Q9,Q59,Q10,Q10_10_TEXT,Q11_1,Q61,Q63,Q64,Q65,Q68,Q69,Q66,Q67,Q12,Q15,Q16,Q57,Q17,Q18,Q70,Q19,Q20,Q21,Q22,Q23,Q26,Q27,Q28,Q71,Q72,Q73,Q74,Q29,Q30,Q31,Q32,Q33,Q35,Q36,Q37,Q75,Q75_11_TEXT,Q38,Q76,Q76_11_TEXT,Q39,Q40,Q41,Q42,Q43,Q49,Q49_7_TEXT,Q50,Q50_6_TEXT,Q51,Q52,Q53,Q77,opp,Q_Language,Q_TotalDuration,rnid,study,PID,psid,K2,med,RISN,rid,Q_BallotBoxStuffing,Q_RelevantIDDuplicateScore,Q_RelevantIDDuplicate,Q_RecaptchaScore,Q_RelevantIDFraudScore,SVID,transaction_id,V,orderNumber,gc,term,tg,LS,PS
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Do you consent to participate in this survey?,"First, we’d like to ask you a few basic questions about yourself.

What is your gender?","Do
you identify as a racial, ethnic, or religious minority?","How
many years of formal education have you completed?",What is your age?,Please select your voivodeship and powiat of residence: - Province,Please select your voivodeship and powiat of residence: - District,What is your total household income during the past 12 months (in Polish złoty) ?,Your primary income comes from:,"What
is your religion, if any? - Selected Choice","What
is your religion, if any? - Other - Text","People
often talk about political issues and views in terms of a “left” and “right”
spectrum. Using the following scale, where would you place yourself in terms of
political views? - 1","In recent years there have been discussions between Polish and U.S. government officials about increasing the U.S. military presence in Poland. One of the options that has been discussed is that of opening up a new U.S. military base in Poland. This new base could house several thousand U.S. service members, as well as a variety of military equipment such as helicopters, tanks, and other vehicles.

How likely would you be to support this new military installation if it were to be located in a town that were 100 kilometers away from where you currently live?",How likely would you be to support this new military installation if it were to be located within 5 kilometers of where you currently live?,"Russia's 2014 annexation of Crimea and 2022 invasion of Ukraine represent the first major interstate war to occur in Europe in decades. The war has resulted in numerous casualties, including a large number of civilians killed and entire cities destroyed, and has displaced hundreds of thousands of people. 

In recent years there have been discussions between Polish and U.S. government officials about increasing the U.S. military presence in Poland. One of the options that has been discussed is that of opening up a new U.S. military base in Poland. This new base could house several thousand U.S. service members, as well as a variety of military equipment such as helicopters, tanks, and other vehicles. 

Some would argue that a new military base would bring economic benefits to the neighboring community through actions such as sourcing from local contractors, hiring local individuals to work on base, and having American service members patronize local businesses.

How likely would you be to support this new military installation if it were to be located in a town that were 100 kilometers away from where you currently live?",How likely would you be to support this new military installation if it were to be located in a town that were 5 kilometers away from where you currently live?,"In recent years there have been discussions between Polish and U.S. government officials about increasing the U.S. military presence in Poland. One of the options that has been discussed is that of opening up a new U.S. military base in Poland. This new base could house several thousand U.S. service members, as well as a variety of military equipment such as helicopters, tanks, and other vehicles. 

Some would argue that a new military base would bring economic benefits to the neighboring community through actions such as sourcing from local contractors, hiring local individuals to work on base, and having American service members patronize local businesses.

How likely would you be to support this new military installation if it were to be located in a town that were 100 kilometers away from where you currently live?",How likely would you be to support this new military installation if it were to be located in a town that were 5 kilometers away from where you currently live?,"Russia's 2014 annexation of Crimea and 2022 invasion of Ukraine represent the first major interstate war to occur in Europe in decades. The war has resulted in numerous casualties, including a large number of civilians killed and entire cities destroyed, and has displaced hundreds of thousands of people. 

In recent years there have been discussions between Polish and U.S. government officials about increasing the U.S. military presence in Poland. One of the options that has been discussed is that of opening up a new U.S. military base in Poland. This new base could house several thousand U.S. service members, as well as a variety of military equipment such as helicopters, tanks, and other vehicles. 

How likely would you be to support this new military installation if it were to be located in a town that were 100 kilometers away from where you currently live?",How likely would you be to support this new military installation if it were to be located in a town that were 5 kilometers away from where you currently live?,"Next, we’d like to ask you
some general questions about your political and economic views.
In
general, how important is it to you that you live under a democratic government?","In
general, how important do you think it is for countries to work together to
promote peace and security?","In
general, how important do you think it is for countries to work together to
promote economic growth and development?","In general, my government is trustworthy. Do you...","In
general, countries are better off depending on their own strength and not
relying on other countries for security or economic prosperity. Do you…","In general, what is your opinion of relations between Poland and Russia? Are relations…","In general, what is your opinion of relations between Poland and neighboring countries (not Russia)? Are relations…","In
general, what is your opinion of the United States government?","In
general, what is your opinion of the United States people?","In your opinion, how much influence does the United States have in Poland?","In
your opinion, the influence that the United States has in Poland is…","In general, what is your opinion of the Chinese government?","In
general, what is your opinion of the Chinese people?","In
your opinion, how much influence does China have in Poland?","In
your opinion, Chinese influence in Poland is…","In general, what is your opinion of the German government?","In
general, what is your opinion of the German people?","In
your opinion, how much influence does Germany have in Poland?","In
your opinion, German influence in Poland is…","Finally, we’d like to ask
you a few questions about your views on the United States military and its
presence in Poland.

In
general, what is your opinion of the presence of the United States military forces in Poland?","In your opinion, what sort of influence does the presence of United States military forces have on the economy of Poland?","In
your opinion, what sort of influence does the presence of United States military
forces have on the economy of your local area?","In
your opinion, how has the presence of United States military forces affected crime
and public safety in Poland?","In
your opinion, how has the presence of United States military forces in Poland affected Poland's security from foreign
threats?","In
your opinion, how has the presence of United States military forces affected the
quality of democracy in Poland?","In
your opinion, how has the presence of United States military forces affected your
government’s respect for human rights?","Have
you personally had direct contact with a member of the United States military in Poland?",What kind of contact was this? Select all that apply. - Selected Choice,What kind of contact was this? Select all that apply. - Had a different interaction that does not fit into these categories (please list here) - Text,"Has
a member of your family or close friend had direct contact with a member of the
United States military stationed in Poland?",What kind of contact was this? Select all that apply. - Selected Choice,What kind of contact was this? Select all that apply. - Had a different interaction that does not fit into these categories (please list here) - Text,"Have
you personally received a direct economic benefit from the United States military
presence in Poland?
Examples include employment by the US military, employment by a contractor that
does business with the US military, or ownership/employment at a business that
frequently serves US military personnel.","How
reliant are you on these economic benefits?","Has a member of your family or close friend received a direct economic benefit from the United States military presence in Poland? Examples include employment by the US military, employment by a contractor that does business with the US military, or ownership/employment at a business that frequently serves US military personnel.","How
reliant are they on these economic benefits?","Do
you feel safer in your daily life because of the presence of US military
personnel?","In
your opinion, what is the greatest benefit of hosting United States military
personnel in Poland? [Select one] - Selected Choice","In
your opinion, what is the greatest benefit of hosting United States military
personnel in Poland? [Select one] - Other - Text","In
your opinion, what is the greatest drawback of hosting United States military forces
in Poland? - Selected Choice","In
your opinion, what is the greatest drawback of hosting United States military forces
in Poland? - Other - Text","In
your opinion, how long should the United States military remain in Poland?","What
is your opinion of the relationship between the US military and the government
of Poland?","Have
you ever attended a protest event against a US military base?","If there were a protest against the US military presence planned in your community within the next month, would you attend?",opp,Q_Language,Q_TotalDuration,rnid,study,PID,psid,K2,med,RISN,rid,Q_BallotBoxStuffing,Q_RelevantIDDuplicateScore,Q_RelevantIDDuplicate,Q_RecaptchaScore,Q_RelevantIDFraudScore,SVID,transaction_id,V,orderNumber,gc,term,tg,LS,PS
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID56""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID6_5""}","{""ImportId"":""QID9""}","{""ImportId"":""QID59""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_10_TEXT""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID61""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID12""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID57""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID70""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID75""}","{""ImportId"":""QID75_11_TEXT""}","{""ImportId"":""QID38""}","{""ImportId"":""QID76""}","{""ImportId"":""QID76_11_TEXT""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID49""}","{""ImportId"":""QID49_7_TEXT""}","{""ImportId"":""QID50""}","{""ImportId"":""QID50_6_TEXT""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID77""}","{""ImportId"":""opp""}","{""ImportId"":""Q_Language""}","{""ImportId"":""Q_TotalDuration""}","{""ImportId"":""rnid""}","{""ImportId"":""study""}","{""ImportId"":""PID""}","{""ImportId"":""psid""}","{""ImportId"":""K2""}","{""ImportId"":""med""}","{""ImportId"":""RISN""}","{""ImportId"":""rid""}","{""ImportId"":""Q_BallotBoxStuffing""}","{""ImportId"":""Q_RelevantIDDuplicateScore""}","{""ImportId"":""Q_RelevantIDDuplicate""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""Q_RelevantIDFraudScore""}","{""ImportId"":""SVID""}","{""ImportId"":""transaction_id""}","{""ImportId"":""V""}","{""ImportId"":""orderNumber""}","{""ImportId"":""gc""}","{""ImportId"":""term""}","{""ImportId"":""tg""}","{""ImportId"":""LS""}","{""ImportId"":""PS""}"
2/22/2023 17:08,2/22/2023 17:10,IP Address,100,121,TRUE,2/22/2023 17:10,R_3kA1FkO3J3zynwr,anonymous,PL,I consent,Male,Yes,Higher Education (Bachelor/Engineer),25 to 34 years,Podkarpackie,Jasło,21 236 – 29 131,Full-time or contract work in the private sector,Catholicism,,6,,,,,Strongly support,Somewhat support,,,Very important,Somewhat important,Very important,Strongly Agree,Neither agree nor disagree,Neutral,Very peaceful,Very unfavorable,Neutral,A lot,Positive,Very unfavorable,Somewhat favorable,A lot,Positive,Very favorable,Somewhat unfavorable,Some,Negative,Very favorable,Neutral,Somewhat positive,Very positive,Very unhelpful,Very unhelpful ,The presence of American military forces has somewhat improved the government’s respect for human rights,Yes,"Interacted with a U.S. service member in an individual social setting, such as a party, bar, festival, etc.",,Yes,Had a co-worker who was a U.S. servicemember,,Yes,Somewhat reliant,Yes,Somewhat reliant,Yes,Positive effect on economic activity,,Changing the behavior and/or policies of the government of Poland,,As long as needed ,Very positive,Never,Maybe,Qual4159-0110-PolandStudy,PL,121,,,,933eef09-790d-f168-c478-6086e7b9f243,,{Invalid Expression},,,,,,,,14302052,1tSLXVptE5pm1jckZLOwZi,,,1,,,{Invalid Expression},497
2/22/2023 17:06,2/22/2023 17:12,IP Address,100,361,TRUE,2/22/2023 17:12,R_1Qsd2tnEVql9Rxv,anonymous,PL,I consent,Male,No,Higher Education (Bachelor/Engineer),25 to 34 years,Wielkopolskie,Poznań,29 132- 37 067,Other sources,Catholicism,,6,,,Somewhat support,Neither support nor oppose,,,,,Very important,Somewhat important,Not important,Strongly disagree,Strongly Agree,Somewhat hostile,Somewhat hostile,Very favorable,Very favorable,A lot,Very positive,Somewhat favorable,Very favorable,A lot,Very positive,Neutral,Somewhat favorable,Some,Positive,Very favorable,Very positive,Somewhat positive,Somewhat positive,Somewhat helpful,Somewhat helpful ,Neutral / No change,No,,,No,,,No,,Yes,Somewhat reliant,No,Improved government respect for human rights,,Changing the behavior and/or policies of the government of Poland,,Longer than 3 years,Very positive,Never,No,Qual4159-0110-PolandStudy,PL,361,,,,bc054ee0-4bca-036a-94cf-a1a9dba9355d,,{Invalid Expression},,,,,,,,14302052,5ICW2wkUUeadJIqouQfD1x,,,1,,,{Invalid Expression},497
2/22/2023 17:07,2/22/2023 17:12,IP Address,100,301,TRUE,2/22/2023 17:12,R_2bOejh8hjWEcjRi,anonymous,PL,I consent,Male,No,Higher Education (Master’s degree or higher),35 to 44 years,Łódzkie,Łódź,50 204 +,Self-employed (non-agricultural),Other,Żadna,3,,,,,,,Somewhat support,Somewhat support,Very important,Very important,Very important,Strongly disagree,Somewhat disagree,Somewhat peaceful,Somewhat peaceful,Somewhat favorable,Somewhat favorable,Some,Positive,Somewhat favorable,Somewhat unfavorable,A lot,Negative,Neutral,Somewhat favorable,A lot,Negative,Somewhat favorable,Somewhat positive,Somewhat positive,Neutral,Somewhat helpful,Somewhat unhelpful ,Neutral / No change,No,,,No,,,No,,No,,Yes,Greater security from foreign threats,,Increased crime,,As long as needed ,Very positive,Never,No,Qual4159-0110-PolandStudy,PL,301,,,,f7a0eec9-6742-41d9-b4c1-e0ab7d1f1744,,{Invalid Expression},,,,,,,,14302052,46230llx9nZvopTxc2SYcq,,,1,,,{Invalid Expression},497
2/22/2023 17:07,2/22/2023 17:12,IP Address,100,303,TRUE,2/22/2023 17:12,R_1LGqvVJ6J957Lpg,anonymous,EN,I consent,Male,Yes,Secondary Education,45 to 54 years,Mazowieckie,Warszawa,50 204 +,Self-employed (non-agricultural),Catholicism,,4,Somewhat support,Somewhat support,,,,,,,Very important,Very important,Very important,Somewhat disagree,Somewhat agree,Very hostile,Somewhat peaceful,Somewhat favorable,Very favorable,Some,Positive,Very unfavorable,Somewhat favorable,Some,Negative,Somewhat favorable,Very favorable,A lot,Very positive,Somewhat favorable,Somewhat positive,Somewhat positive,Neutral,Somewhat helpful,Somewhat helpful ,The presence of American military forces has somewhat improved the government’s respect for human rights,No,,,No,,,No,,No,,Yes,Changing the behavior and/or policies of the government of Poland,,Changing the behavior and/or policies of the government of Poland,,Longer than 3 years,Somewhat positive,Never,No,Qual4159-0110-PolandStudy,EN,303,,,,6d0b6160-2048-cc9e-d2b7-71062ee22420,,{Invalid Expression},,,,,,,,14302052,5ntr1hncBJj9IUJLVCnfax,,,1,,,{Invalid Expression},497
2/22/2023 17:04,2/22/2023 17:13,IP Address,100,497,TRUE,2/22/2023 17:13,R_2wjoyJNWcXVgKS1,anonymous,PL,I consent,Male,Yes,Secondary Education,25 to 34 years,Zachodniopomorskie,Szczecin,29 132- 37 067,Full-time or contract work in the private sector,Catholicism,,10,,,,,,,Strongly oppose,Strongly oppose,Very important,Somewhat important,Somewhat important,Strongly disagree,Strongly Agree,Somewhat hostile,Neutral,Very unfavorable,Somewhat unfavorable,A lot,Negative,Very unfavorable,Very unfavorable,Some,Negative,Very unfavorable,Very unfavorable,Some,Negative,Very unfavorable,Very negative,Very negative,Very negative,Very unhelpful,Very unhelpful ,The presence of American military forces has greatly worsened the government’s respect for human rights,No,,,Yes,"Had a brief everyday interaction with a U.S. service member, such as conversing on public transport, or shopping at the same market.",,No,,No,,No,No benefits,,Changing the behavior and/or policies of the government of Poland,,1-3 years,Very negative,Never,Maybe,Qual4159-0110-PolandStudy,PL,497,,,,3a4f5fa9-fe81-9b59-1e77-b5505649e8a1,,{Invalid Expression},,,,,,,,14302052,6fKAf4DF5YavR9Aeq2GPks,,,1,,,{Invalid Expression},497
2/22/2023 17:09,2/22/2023 17:13,IP Address,100,280,TRUE,2/22/2023 17:13,R_1eFuUyQndBxlfH5,anonymous,PL,I consent,Male,No,Secondary Education,25 to 34 years,Warmińsko-Mazurskie,Olecko,37 068 – 50 203,Self-employed (non-agricultural),Catholicism,,4,,,Somewhat support,Somewhat support,,,,,Somewhat important,Neutral,Very important,Somewhat disagree,Neither agree nor disagree,Somewhat peaceful,Somewhat peaceful,Somewhat unfavorable,Neutral,Some,Neither Positive nor Negative,Somewhat favorable,Somewhat favorable,Some,Positive,Somewhat favorable,Somewhat favorable,Some,Positive,Somewhat favorable,Somewhat positive,Somewhat positive,Somewhat positive,Somewhat helpful,Somewhat helpful ,The presence of American military forces has somewhat improved the government’s respect for human rights,No,,,No,,,No,,No,,Yes,Positive effect on economic activity,,Increased crime,,As long as needed ,Somewhat positive,Never,Maybe,Qual4159-0110-PolandStudy,PL,280,,,,95a31504-cb6c-f007-16f1-9010133d7ede,,{Invalid Expression},,,,,,,,14302052,7CK3jh4K4uIvdBXzLYfoEB,,,1,,,{Invalid Expression},497
2/22/2023 17:07,2/22/2023 17:13,IP Address,100,375,TRUE,2/22/2023 17:13,R_1Akvlbee7ygazw5,anonymous,PL,I consent,Male,No,Higher Education (Master’s degree or higher),35 to 44 years,Kujawsko-Pomorskie,Inowrocław,37 068 – 50 203,Full-time or contract work in the private sector,Catholicism,,8,,,,,Strongly support,Strongly support,,,Very important,Very important,Very important,Somewhat agree,Somewhat agree,Somewhat peaceful,Somewhat peaceful,Very favorable,Very favorable,Some,Positive,Very favorable,Somewhat unfavorable,None,Neither Positive nor Negative,Very favorable,Somewhat unfavorable,None,Neither Positive nor Negative,Very favorable,Somewhat positive,Somewhat positive,Very positive,Very helpful,Somewhat helpful ,The presence of American military forces has greatly improved the government’s respect for human rights,No,,,No,,,No,,No,,Yes,Greater security from foreign threats,,No drawback,,6-12 months,Very positive,Never,No,Qual4159-0110-PolandStudy,PL,375,,,,bfea71ca-27a2-9227-1302-df17248fc84f,,{Invalid Expression},,,,,,,,14302052,08HhPxzaHwTKUocC80zAGj,,,1,,,{Invalid Expression},497
2/22/2023 17:09,2/22/2023 17:14,IP Address,100,322,TRUE,2/22/2023 17:14,R_1pVDS2aIw6boKCn,anonymous,PL,I consent,Female,No,Secondary Education,35 to 44 years,Dolnośląskie,Wrocław,37 068 – 50 203,Other sources,Catholicism,,6,,,,,,,Neither support nor oppose,Neither support nor oppose,Neutral,Somewhat important,Somewhat important,Somewhat disagree,Somewhat disagree,Somewhat hostile,Somewhat hostile,Neutral,Neutral,Some,Neither Positive nor Negative,Somewhat unfavorable,Somewhat unfavorable,A little,Neither Positive nor Negative,Neutral,Neutral,A little,Neither Positive nor Negative,Somewhat unfavorable,Somewhat negative,Don’t know/Decline to answer,Don’t know/Decline to answer,Don’t know/Decline to answer,Don’t know/Decline to answer,Neutral / No change,No,,,No,,,No,,No,,No,No benefits,,No drawback,,No preference,Somewhat positive,Never,Maybe,Qual4159-0110-PolandStudy,PL,322,,,,1c40dd41-2cae-1828-0aae-ef6bdc9694a3,,{Invalid Expression},,,,,,,,14302052,6JvUgGEPwePcuiklYbEV69,,,1,,,{Invalid Expression},497
